ID,WEIGHT,STRATA,PROV,REGENCY,income,sex,age,disability,edu,domain,neet
46,0.973,1,36,3666,7499062.41,0,50,1,1,2,0
47,1.053,1,15,1522,7499409.91,0,43,1,5,10,1
48,0.66,1,35,3551,7499648.34,1,34,0,1,9,0
49,0.804,1,51,5155,7500268.78,0,61,1,1,2,0
50,1.178,1,52,5270,7500718.17,0,35,1,2,8,0
51,0.643,1,91,9116,7497112.69,0,16,1,4,5,0
52,0.805,1,52,5296,7497653.9,1,19,0,4,9,0
53,1.221,1,33,3311,7499479.9,0,43,0,3,10,0
54,0.983,1,36,3660,7496318.09,1,57,1,6,5,1
55,0.748,1,14,1422,7499377.15,1,57,1,3,8,0
56,1.085,1,33,3351,7499675.77,0,31,1,5,1,0
57,1.387,1,64,6439,7501740.74,1,42,1,3,3,0
58,0.701,1,51,5153,7500373.42,1,18,0,4,10,0
59,0.54,1,74,7456,7501218.62,0,51,0,4,4,0
60,1.032,1,21,2139,7497251.1,0,21,1,3,3,0
61,0.735,1,74,7489,7498743.18,1,40,1,1,6,0
62,0.89,1,31,3135,7501758.97,0,34,0,2,5,0
63,0.826,1,52,5223,7499687.39,0,30,1,1,8,0
64,0.728,1,13,1378,7499269.89,1,22,0,3,9,0
65,0.981,1,61,6169,7499212.85,0,65,1,6,5,1
66,1.05,1,31,3122,7502203.19,1,22,0,2,5,1
67,0.663,1,16,1665,7499047.34,1,36,0,3,10,0
68,1.288,1,18,1868,7500253.23,0,29,0,5,10,0
69,1.387,1,64,6486,7499149.82,1,21,0,2,3,0
70,0.928,1,32,3243,7499775.62,0,21,0,5,9,0
71,1.039,1,11,1118,7501152.65,0,49,1,1,1,0
72,1.435,1,82,8280,7500336.59,0,64,0,2,1,0
73,0.592,1,11,1126,7499784.71,0,61,0,5,1,0
74,0.659,1,61,6134,7498971.35,0,44,0,3,5,0
75,0.866,1,12,1282,7499437.01,1,20,1,1,7,0
76,0.966,1,62,6293,7500284.09,1,44,1,3,2,0
77,1.161,1,21,2111,7499545.33,0,48,1,4,7,0
78,1.049,1,63,6347,7498745.03,0,65,0,5,9,0
79,0.417,1,71,7154,7497632.92,1,41,1,4,10,0
80,1.294,1,51,5196,7502344.89,0,50,1,6,2,1
81,1.34,1,92,9284,7498705.78,1,34,1,5,1,0
82,0.687,1,91,9167,7500530.05,0,48,1,2,7,1
83,1.137,1,36,3650,7499781.49,1,15,1,4,3,0
84,0.782,1,21,2196,7497619.92,0,61,0,6,5,0
85,0.847,1,15,1514,7501820.56,1,51,0,1,9,0
86,0.767,1,91,9108,7498310.92,0,51,1,6,6,1
87,1.442,1,32,3211,7500156.52,0,33,1,4,9,1
88,0.711,1,31,3122,7501414.65,0,31,1,6,1,0
89,0.957,1,12,1208,7499591.71,0,47,1,3,10,0
90,1.136,1,12,1240,7497812.22,0,58,1,5,6,0
91,0.711,1,52,5295,7498307.46,1,26,0,3,1,0
92,0.895,1,35,3501,7502132.22,0,64,0,1,6,0
93,0.94,1,92,9226,7501811.09,0,25,0,5,1,0
94,1.484,1,64,6406,7499905.78,0,24,0,5,5,0
95,0.59,1,63,6362,7499436.61,0,41,1,5,3,0
96,0.976,1,91,9130,7500307.78,0,63,1,2,4,0
97,1.043,1,64,6494,7500472.24,0,57,0,5,8,0
98,0.897,1,14,1469,7500296.07,0,27,1,1,4,0
99,1.389,1,15,1517,7500793.63,0,35,1,3,2,0
100,0.98,1,33,3336,7498640.09,0,54,0,2,5,0
