ID,WEIGHT,STRATA,PROV,REGENCY,income,sex,age,disability,edu,domain,neet
32,1.48,1,71,7166,7500255.91,0,65,1,3,9,0
33,0.88,1,65,6501,7499966.96,0,25,1,2,6,0
34,0.561,1,76,7655,7499716.68,1,63,1,1,4,1
35,0.585,1,34,3431,7500456.55,0,32,1,4,6,0
36,1.638,1,16,1653,7500443.9,0,54,1,4,6,0
37,0.879,1,63,6336,7500604.44,0,50,1,3,2,0
38,1.137,1,17,1781,7500639.88,1,29,0,5,2,0
39,1.575,1,31,3196,7498182.25,1,54,1,2,10,1
40,0.796,1,18,1855,7500286.75,0,39,0,4,2,0
41,0.942,1,14,1447,7500251.2,1,28,1,2,2,0
42,0.826,1,91,9156,7501237.99,0,38,0,1,2,0
43,0.671,1,31,3158,7501096.49,0,24,1,4,5,0
44,1.24,1,31,3103,7502447.1,0,54,0,2,2,0
45,1.32,1,51,5189,7498765.68,1,63,1,6,10,1
46,0.438,1,91,9187,7499809.67,0,40,1,5,4,0
47,1.295,1,15,1592,7500354.49,1,36,0,1,5,0
48,0.929,1,14,1442,7499029.27,1,61,1,3,3,0
49,1.055,1,14,1483,7499595.5,1,50,0,1,6,1
50,1.059,1,71,7194,7499439.84,0,26,0,6,1,0
51,0.608,1,15,1570,7499271.18,0,57,1,5,6,0
52,0.907,1,19,1995,7503588.51,0,55,0,5,4,0
53,0.703,1,62,6257,7499901.64,1,64,0,2,2,0
54,1.575,1,16,1657,7502331.05,1,36,0,5,10,0
55,1.656,1,15,1509,7498683.35,1,59,1,4,8,1
56,1.025,1,31,3112,7500465.17,0,35,0,4,6,0
57,0.646,1,52,5286,7499033.29,0,56,1,5,5,0
58,1.347,1,81,8140,7500556.97,1,63,0,1,3,1
59,0.943,1,16,1623,7502640.07,1,20,1,6,3,0
60,1.524,1,75,7569,7503075.79,1,59,0,5,3,0
61,1.591,1,16,1698,7501307.7,1,50,1,4,4,0
62,1.502,1,32,3272,7500751.43,1,47,1,1,5,1
63,0.881,1,64,6469,7500046.36,1,15,0,6,6,0
64,0.701,1,61,6138,7500650.03,1,18,1,2,7,0
65,0.801,1,18,1810,7502193.37,1,19,1,3,3,0
66,0.971,1,76,7672,7497502.08,0,64,1,5,1,1
67,0.723,1,64,6436,7499566.81,1,45,1,5,9,1
68,1.358,1,34,3495,7498524.73,1,64,1,5,7,0
69,1.197,1,72,7229,7501622.38,0,41,0,2,5,0
70,0.99,1,81,8184,7498107.56,1,63,0,2,8,0
71,0.88,1,53,5340,7501357.79,1,46,1,3,1,0
72,1.195,1,35,3571,7498244.76,0,31,0,4,5,0
73,1.414,1,92,9209,7498365.4,0,41,0,6,10,0
74,0.421,1,32,3251,7502396.04,1,54,1,2,9,1
75,1.07,1,14,1433,7501643.6,0,63,1,1,5,1
76,0.91,1,18,1862,7498646.66,0,51,1,6,4,1
77,0.777,1,35,3515,7497332.18,1,64,0,5,9,1
78,0.898,1,33,3345,7498576.35,1,55,0,1,2,0
79,1.04,1,18,1886,7500969.98,0,28,0,2,6,0
80,1.561,1,52,5211,7500001.53,1,40,1,3,2,1
81,1.017,1,64,6427,7498575.74,0,22,1,3,7,1
82,0.871,1,51,5154,7500888.34,0,63,0,3,7,1
83,0.632,1,36,3602,7502193.08,1,47,0,2,6,1
84,1.232,1,11,1189,7498281.4,0,38,1,5,4,0
85,0.774,1,31,3172,7499918.18,0,42,1,2,8,1
86,0.966,1,82,8254,7498787.81,1,17,1,5,4,0
87,1.214,1,62,6232,7501754.09,0,16,1,3,9,0
88,1.016,1,82,8233,7500219.01,1,27,1,4,8,0
89,0.884,1,76,7684,7499021.3,0,62,1,5,4,0
90,0.948,1,18,1881,7497463.04,1,27,1,1,6,1
91,1.27,1,11,1174,7501128.89,0,29,1,4,6,0
92,0.994,1,19,1994,7499595.85,1,47,1,3,1,1
93,1.073,1,62,6293,7500252.11,1,56,0,2,4,0
94,1.127,1,51,5139,7499753.23,1,62,0,3,8,1
95,0.9,1,82,8287,7500671.79,1,39,0,1,7,0
96,1.098,1,73,7346,7497324.44,0,52,1,2,4,0
97,0.917,1,71,7191,7498759.81,0,58,0,4,9,0
98,1.34,1,14,1416,7500563.7,0,15,0,1,1,0
99,1.151,1,53,5371,7502871.12,0,61,0,5,7,0
100,0.481,1,35,3583,7500534.82,0,49,0,4,8,0
