ID,WEIGHT,STRATA,PROV,REGENCY,income,sex,age,disability,edu,domain,neet
55,1.053,1,91,9155,7501345.96,0,34,1,2,3,1
56,1.522,1,32,3236,7500979.09,1,26,0,5,6,1
57,0.934,1,12,1280,7502054.27,1,45,1,6,8,0
58,0.932,1,91,9141,7498537.18,0,51,1,5,7,0
59,0.688,1,17,1705,7501400.22,0,31,0,6,9,0
60,1.007,1,14,1428,7499059.62,1,17,0,2,5,0
61,1.205,1,81,8109,7499871.24,1,25,0,6,5,0
62,0.778,1,15,1566,7499951.73,0,23,0,5,1,0
63,0.985,1,74,7421,7499622.49,1,60,0,2,3,1
64,1.216,1,81,8103,7500282.64,1,55,1,6,2,1
65,0.962,1,73,7347,7498496.27,1,17,0,1,9,0
66,0.844,1,73,7378,7500392.31,1,58,0,6,6,1
67,1.292,1,74,7409,7497693.6,1,46,0,1,10,0
68,1.029,1,72,7222,7499330.85,0,20,0,1,1,0
69,1.119,1,13,1312,7498639.94,0,21,1,1,5,1
70,1.351,1,63,6365,7502833.42,1,23,1,1,5,0
71,1.344,1,62,6211,7499517.01,0,47,1,5,1,0
72,0.896,1,31,3134,7500801.33,0,54,1,4,1,0
73,0.842,1,92,9228,7498617.84,1,34,1,5,2,0
74,1.085,1,53,5332,7500269.93,1,54,1,5,3,0
75,0.96,1,52,5212,7497471.26,0,39,0,6,5,0
76,0.43,1,52,5232,7501958.23,1,58,1,5,8,0
77,1.383,1,19,1934,7499375.67,0,52,1,6,8,1
78,1.006,1,34,3410,7501264.2,0,36,1,5,9,0
79,1.221,1,16,1694,7499747.71,1,63,0,2,8,0
80,0.648,1,64,6479,7503027.93,0,48,0,4,2,0
81,1.386,1,53,5367,7499612.69,0,44,0,1,9,0
82,0.824,1,12,1274,7495854.36,0,25,1,1,6,0
83,0.968,1,91,9176,7501067.38,1,34,1,3,7,0
84,0.58,1,18,1866,7503938.2,1,40,0,3,9,0
85,0.95,1,15,1599,7501111.83,1,36,0,6,4,0
86,0.931,1,76,7664,7501181.06,0,42,1,6,10,0
87,0.944,1,33,3382,7499368.27,0,35,1,4,8,1
88,1.132,1,11,1106,7498941.84,1,61,0,6,3,0
89,1.018,1,13,1360,7499821.63,1,38,1,2,7,1
90,1.293,1,63,6339,7499826.9,1,18,0,2,1,0
91,0.86,1,64,6496,7498011.73,0,41,0,2,2,0
92,0.701,1,21,2151,7500982.86,1,56,1,6,6,0
93,0.994,1,81,8115,7501460.16,0,37,1,3,7,1
94,1.189,1,64,6482,7498683.47,1,53,1,4,5,1
95,1.373,1,65,6587,7498827.04,0,44,1,5,6,1
96,1.244,1,31,3117,7502296.99,1,41,1,4,2,1
97,0.47,1,19,1906,7499741.54,0,45,0,4,8,1
98,1.113,1,32,3240,7497645.48,1,36,1,1,6,1
99,1.438,1,14,1485,7498485.46,1,24,1,4,4,0
100,1.019,1,18,1803,7498688.65,0,42,0,1,9,0
