ID,WEIGHT,STRATA,PROV,REGENCY,income,sex,age,disability,edu,domain,neet
54,1.25,1,73,7302,7499639.21,1,40,0,6,4,0
55,0.995,1,71,7197,7498048.08,0,25,1,2,10,0
56,0.962,1,21,2192,7499539.28,0,51,1,2,2,1
57,0.458,1,32,3242,7500191.88,0,40,1,4,9,0
58,1.298,1,51,5173,7499349.47,1,30,0,2,9,1
59,0.553,1,13,1396,7501232.12,0,55,1,4,5,0
60,0.615,1,21,2174,7498379.83,0,48,0,1,7,0
61,0.887,1,76,7632,7501407.03,0,57,1,3,9,1
62,1.01,1,12,1287,7499705.94,0,15,1,6,3,0
63,1.014,1,34,3404,7500588.61,0,59,1,1,6,1
64,0.771,1,63,6353,7497082.51,0,47,1,6,4,0
65,0.906,1,72,7207,7500204.2,1,48,1,5,7,1
66,0.818,1,73,7363,7499902.13,1,46,1,3,6,0
67,0.457,1,35,3530,7501479.48,0,48,1,6,5,0
68,0.923,1,15,1531,7498134.41,0,49,1,5,4,0
69,0.792,1,82,8291,7502156.74,0,46,1,2,2,0
70,1.126,1,51,5130,7498288.21,1,56,0,3,7,0
71,0.956,1,17,1743,7502081.88,1,48,0,6,3,0
72,1.289,1,75,7552,7500914.21,0,34,1,1,5,1
73,1.209,1,51,5181,7498807.09,1,47,0,6,9,0
74,1.27,1,14,1455,7503430.69,1,46,0,4,10,0
75,1.363,1,33,3308,7498109.55,1,39,1,3,6,0
76,1.208,1,17,1777,7499728.08,0,46,0,3,3,1
77,0.95,1,16,1647,7500327.4,0,16,0,4,3,0
78,1.406,1,62,6207,7500825.01,0,65,0,4,5,0
79,0.721,1,17,1774,7500357.95,0,29,1,5,7,0
80,0.989,1,63,6373,7501263.54,1,19,1,1,7,1
81,1.258,1,81,8141,7500726.13,1,50,1,4,4,0
82,0.914,1,34,3487,7500051.7,1,54,1,5,7,1
83,1.214,1,75,7598,7498530.23,0,31,0,4,3,0
84,0.759,1,36,3608,7499454.45,0,37,0,3,8,0
85,0.838,1,61,6126,7501426.95,0,64,1,3,8,0
86,1.164,1,53,5337,7498155.6,1,63,0,1,4,0
87,1.214,1,64,6433,7500175.49,1,57,1,1,8,1
88,1.359,1,64,6445,7496761.2,1,18,1,6,2,0
89,0.979,1,36,3637,7498900.14,0,16,0,6,6,0
90,1.089,1,92,9246,7497433.56,1,47,0,5,10,0
91,1.188,1,76,7687,7501967.79,0,29,0,2,2,1
92,1.14,1,35,3509,7497117.98,0,31,1,1,7,0
93,0.609,1,53,5317,7499621.15,0,18,0,5,5,0
94,0.829,1,53,5312,7501151.77,1,16,0,3,5,0
95,1.433,1,33,3388,7500962.73,1,38,1,5,4,0
96,0.627,1,18,1855,7501222.51,1,56,0,1,4,1
97,1.189,1,71,7170,7501679.73,0,17,1,3,10,0
98,0.872,1,35,3565,7500748.68,0,57,1,2,9,1
99,1.301,1,31,3163,7501319.62,1,22,1,3,1,1
100,0.767,1,81,8120,7499914.4,0,63,1,5,5,0
