ID,WEIGHT,STRATA,PROV,REGENCY,income,sex,age,disability,edu,domain,neet
58,0.868,1,92,9257,7500674.7,1,31,1,2,2,1
59,1.04,1,18,1824,7498917.14,0,65,0,5,7,1
60,0.613,1,33,3314,7498995.19,1,58,0,1,4,1
61,0.941,1,92,9255,7500626.63,0,43,0,1,3,1
62,1.737,1,81,8178,7499315.21,0,35,1,4,3,0
63,1.32,1,11,1194,7497649.32,1,50,0,3,10,0
64,1.192,1,14,1498,7499307.94,1,44,0,2,4,0
65,1.331,1,72,7211,7499665.29,1,57,0,5,6,0
66,1.565,1,64,6485,7500676.95,0,57,0,4,7,0
67,1.178,1,11,1132,7500818.22,0,18,0,6,5,0
68,1.621,1,21,2154,7500941.16,1,48,1,1,1,0
69,1.321,1,17,1750,7498913.53,1,59,1,6,3,0
70,1.05,1,11,1123,7503480.54,1,33,0,3,9,0
71,1.516,1,13,1376,7500695.95,1,53,0,3,4,1
72,0.292,1,91,9192,7499850.65,1,42,1,1,1,0
73,0.829,1,52,5239,7501113.18,1,61,0,2,10,0
74,1.08,1,35,3582,7500374.08,0,60,1,4,10,0
75,0.726,1,62,6239,7496364.47,0,59,0,5,7,1
76,0.953,1,62,6206,7501872.49,0,56,0,4,4,0
77,0.808,1,72,7213,7499653.96,1,62,1,4,9,1
78,0.804,1,75,7568,7497672.68,0,21,1,2,10,0
79,1.814,1,34,3419,7500053.92,0,46,1,1,9,0
80,1.188,1,15,1596,7501067.4,0,49,1,6,6,0
81,0.984,1,92,9204,7502566.25,0,32,1,1,9,0
82,1.395,1,12,1285,7501571.9,0,28,1,3,1,0
83,0.929,1,63,6392,7501056.23,0,65,0,1,8,0
84,1.266,1,63,6325,7501058.82,1,50,1,3,1,1
85,1.105,1,33,3363,7501739.04,1,15,0,4,10,0
86,1.488,1,76,7663,7495892.57,1,32,1,5,7,0
87,0.574,1,65,6513,7501954.85,0,16,0,3,7,0
88,1.23,1,73,7396,7499710.12,0,26,1,3,1,0
89,1.037,1,13,1305,7500162.31,0,49,0,3,6,1
90,0.653,1,75,7599,7501103.01,0,31,0,3,4,0
91,1.32,1,34,3423,7500613.42,1,46,1,1,6,1
92,0.738,1,11,1199,7501496.45,0,28,1,6,6,0
93,1.486,1,73,7390,7502412.81,1,19,0,6,4,0
94,1.154,1,53,5315,7501229.94,0,38,0,4,8,0
95,1.209,1,65,6565,7499895.86,1,28,0,2,1,0
96,1.024,1,17,1725,7497380.34,0,59,0,3,3,0
97,1.271,1,36,3632,7499856.29,0,60,1,3,6,0
98,0.44,1,92,9244,7501406.27,0,34,0,3,10,0
99,1.022,1,73,7392,7496829.78,1,40,1,2,7,1
100,0.812,1,32,3240,7499827.3,0,19,1,1,7,0
