ID,WEIGHT,STRATA,PROV,REGENCY,income,sex,age,disability,edu,domain,neet
64,0.8,1,64,6452,7497905.69,0,28,1,6,1,0
65,0.498,1,32,3232,7499916.91,1,33,1,3,4,0
66,1.248,1,12,1208,7497194.29,1,53,0,4,4,1
67,0.851,1,76,7614,7498751.02,1,26,1,3,5,0
68,0.907,1,36,3604,7500926.87,0,34,1,4,8,0
69,0.999,1,64,6429,7500364.55,0,27,0,6,8,0
70,0.581,1,64,6416,7500958.16,1,19,1,1,4,1
71,0.742,1,53,5330,7498579.6,1,60,1,3,8,0
72,1.202,1,51,5167,7500813.41,0,40,1,3,7,1
73,1.186,1,52,5262,7501408.5,1,55,0,1,6,0
74,0.867,1,71,7184,7502569.97,0,50,0,5,8,0
75,1.543,1,11,1197,7500387.21,1,20,1,3,3,0
76,0.608,1,92,9259,7503391.11,0,46,0,1,8,0
77,0.897,1,53,5383,7499926.26,0,44,1,6,6,0
78,0.931,1,18,1835,7498786.58,1,17,0,3,6,0
79,0.162,1,35,3531,7503758.76,0,47,0,4,9,0
80,1.581,1,73,7358,7499513.61,1,22,0,4,8,0
81,1.11,1,91,9197,7499715.11,0,44,0,1,2,0
82,0.687,1,12,1250,7499008.33,0,23,0,3,5,0
83,1.615,1,71,7147,7499243.66,1,42,0,5,3,1
84,1.176,1,64,6484,7502221.99,1,48,0,1,2,1
85,1.129,1,81,8142,7500087.54,1,44,0,1,5,1
86,0.818,1,63,6321,7501165.27,1,19,0,3,8,0
87,1.032,1,15,1541,7496944.45,0,53,1,2,7,1
88,0.542,1,14,1451,7499043.43,0,48,1,3,5,0
89,1.239,1,53,5305,7499375.42,1,24,1,5,2,0
90,0.888,1,92,9210,7499784.78,1,18,1,3,4,0
91,1.04,1,32,3201,7501427.35,1,29,1,6,1,0
92,1.361,1,32,3291,7499818.08,0,35,0,1,2,0
93,1.085,1,33,3322,7500231.48,1,50,1,4,5,1
94,1.079,1,15,1575,7500282.13,0,43,1,5,1,0
95,1.083,1,11,1122,7499951.94,0,60,0,1,1,0
96,0.78,1,72,7234,7500114.33,0,43,0,3,3,1
97,1.251,1,18,1839,7498989.32,1,19,1,2,5,1
98,1.463,1,18,1838,7499666.59,0,30,0,1,9,0
99,1.228,1,92,9244,7499655.33,1,26,1,2,8,1
100,1.265,1,18,1834,7500905.27,1,46,0,5,4,0
